Algorithm,Sample,Result,Time,Seed
MEMETICALGORITHM,100,557.0335316224191,27.371923685073853,23
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,510.3435656402278,47.2405686378479,23
EVOLUTIONSTRATEGY,100,489.8172131143807,0.2751035690307617,23
DIFFERENTIALEVOLUTION,100,518.1905554883203,1.010002851486206,23
BASE,100,488.48831530864453,0.12366056442260742,24
GENETICALGORITHM,100,548.5802615532433,1.310469627380371,24
MEMETICALGORITHM,100,556.8838643863938,26.156569719314575,24
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,511.2887763521543,47.365437030792236,24
EVOLUTIONSTRATEGY,100,483.0064894895248,0.2833981513977051,24
DIFFERENTIALEVOLUTION,100,519.1035939849844,1.0871531963348389,24
BASE,100,495.6449419037277,0.1225290298461914,25
GENETICALGORITHM,100,551.3675701358434,1.433196783065796,25
MEMETICALGORITHM,100,554.7050350629103,25.272945880889893,25
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,510.6642158825821,45.62159442901611,25
EVOLUTIONSTRATEGY,100,468.043903873942,0.28380322456359863,25
DIFFERENTIALEVOLUTION,100,518.2134939414623,1.0179252624511719,25
BASE,100,491.0063871046938,0.12687230110168457,26
GENETICALGORITHM,100,550.684948873044,1.4196574687957764,26
MEMETICALGORITHM,100,555.8558316812873,27.538975715637207,26
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,513.4469712210591,47.13265609741211,26
EVOLUTIONSTRATEGY,100,462.37991001786696,0.36495089530944824,26
DIFFERENTIALEVOLUTION,100,517.614175048205,1.0129449367523193,26
BASE,100,490.0799550622275,0.12116003036499023,27
GENETICALGORITHM,100,549.5649937465661,1.365182638168335,27
MEMETICALGORITHM,100,554.3911451033182,27.369861841201782,27
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,511.3583451787375,47.30463981628418,27
EVOLUTIONSTRATEGY,100,474.2719022070366,0.27048587799072266,27
DIFFERENTIALEVOLUTION,100,515.7512659988054,1.0896499156951904,27
BASE,100,486.0918321926848,0.12632060050964355,28
GENETICALGORITHM,100,544.5327156043367,1.3827970027923584,28
MEMETICALGORITHM,100,555.1341463814875,26.629042387008667,28
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,515.3351141520938,46.81331777572632,28
EVOLUTIONSTRATEGY,100,468.7971549892787,0.27707457542419434,28
DIFFERENTIALEVOLUTION,100,520.0051602237126,1.0170729160308838,28
BASE,100,491.286088037208,0.12166190147399902,29
GENETICALGORITHM,100,553.1045953796922,1.4861178398132324,29
MEMETICALGORITHM,100,555.1553783974726,25.675289154052734,29
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,506.31328801955476,45.921802282333374,29
EVOLUTIONSTRATEGY,100,468.5350383365819,0.39213085174560547,29
DIFFERENTIALEVOLUTION,100,519.8833817941248,1.0604884624481201,29
BASE,1000,2965.6256913383895,1.1733241081237793,0
GENETICALGORITHM,1000,3395.2342938100455,10.884571552276611,0
MEMETICALGORITHM,1000,3206.1942745839747,350.000097990036,0
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3280.860526826798,350.0001029968262,0
EVOLUTIONSTRATEGY,1000,2826.1707828075646,1.9824142456054688,0
DIFFERENTIALEVOLUTION,1000,3109.689416746738,6.977952480316162,0
BASE,1000,3006.770263338634,0.9810478687286377,1
GENETICALGORITHM,1000,3408.0840689251995,11.366026163101196,1
MEMETICALGORITHM,1000,3186.7043517711013,350.0000913143158,1
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3304.422340858329,350.00011563301086,1
EVOLUTIONSTRATEGY,1000,2867.591100799291,2.1345725059509277,1
DIFFERENTIALEVOLUTION,1000,3100.8220914097647,6.8894031047821045,1
BASE,1000,2992.783344365948,1.020904779434204,2
GENETICALGORITHM,1000,3383.7737813413423,11.01849889755249,2
MEMETICALGORITHM,1000,3154.0151307186356,350.00011682510376,2
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3306.374137124505,350.00015926361084,2
EVOLUTIONSTRATEGY,1000,2901.985178360627,1.9892594814300537,2
DIFFERENTIALEVOLUTION,1000,3119.1802562696016,6.828089475631714,2
BASE,1000,2942.3361552717142,1.0989830493927002,3
GENETICALGORITHM,1000,3396.809675835386,10.9724280834198,3
MEMETICALGORITHM,1000,3242.5496770201917,350.000093460083,3
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3271.78562491105,350.00009989738464,3
EVOLUTIONSTRATEGY,1000,2911.4508453005183,2.0310299396514893,3
DIFFERENTIALEVOLUTION,1000,3090.359441755936,6.667227745056152,3
BASE,1000,3009.545928109188,1.064074993133545,4
GENETICALGORITHM,1000,3365.938044462622,10.895763397216797,4
MEMETICALGORITHM,1000,3199.9919114965,350.0001242160797,4
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3337.0136787711203,350.0001494884491,4
EVOLUTIONSTRATEGY,1000,2861.6176700928327,2.0245442390441895,4
DIFFERENTIALEVOLUTION,1000,3103.8787172643556,7.018312931060791,4
BASE,1000,2946.2086061408427,1.0642297267913818,5
GENETICALGORITHM,1000,3384.8868118434866,10.970926523208618,5
MEMETICALGORITHM,1000,3191.588058405848,350.0001108646393,5
MEMETICALGORITHMHYBRIDLOCALSEARCH,1000,3270.5548909610015,350.0001335144043,5
